Timestamp,Gender,Major,Current year of study, GPA range,Class attendance behavior,Major courses attendance,Elective courses attendance,Practical / applied courses attendance,General education courses attendance,Reasons for attending classes? ,Reasons for skipping classes,Attitude toward attending classes,Ways of compensation for the missed content? ,Effectiveness of alternative methods compared to attending classes,Effective learning methods for academic performance,Frequency of optional attendance ,Factors  influencing attendance,Relationship between class attendance and GPA 
2025/12/26 10:44:49 pm EET,Female,Journalism,Third Year,60 - 69,I attend most classes,3,3,4,1,Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction,"Internship, training, or practical obligations;Long commuting distance or transportation challenges",3,Consult classmates’ notes,Equally effective,In-person classroom instruction,3,"Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving);Ability to choose class schedules and/or instructors",The relationship varies depending on the course
2025/12/26 10:46:27 pm EET,Female,Journalism,Third Year,60 - 69,I attend most classes,5,5,4,4,To improve understanding of course content;Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,Perceived limitations in teaching quality or delivery,4,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Consult classmates’ notes;Rely on explanations provided by classmates or peers",Equally effective,A combination of in-person classes and other learning methods,5,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving);Relevance of lectures to examinations and assessments;Ability to choose class schedules and/or instructors",The relationship varies depending on the course
2025/12/26 10:47:09 pm EET,Female,Journalism,Third Year,60 - 69,I attend most classes,5,3,5,4,To improve understanding of course content;Attendance is mandatory according to faculty regulations,Health issues ,5,Review lecture slides or PDF materials;Consult classmates’ notes,Equally effective,A combination of in-person classes and other learning methods,4,Ability to choose class schedules and/or instructors,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/27 12:09:37 pm EET,Female,Journalism,Third Year,60 - 69,I attend all or almost all classes,5,4,4,3,To improve understanding of course content;Attendance is mandatory according to faculty regulations,Course materials are sufficiently available online;Low motivation or engagement with the course,4,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,A combination of online learning and independent self-study,2,"Quality and clarity of instruction during lectures;Practical application of course content (e.g., examples, case studies, problem-solving);Ability to choose class schedules and/or instructors","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 4:12:57 pm EET,Female,Marketing and Advertising,Third Year,60 - 69,I attend most classes,4,2,4,3,Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation,"Internship, training, or practical obligations;Long commuting distance or transportation challenges",4,Consult classmates’ notes,Less effective,Independent self-study,2,"Practical application of course content (e.g., examples, case studies, problem-solving);Ability to choose class schedules and/or instructors",My level of class attendance does not appear to affect my academic performance
2025/12/27 5:54:14 pm EET,Female,Marketing and Advertising,Third Year,60 - 69,I attend all or almost all classes,5,5,5,3,Attendance is mandatory according to faculty regulations,"Internship, training, or practical obligations",1,"Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT)",More effective,Independent self-study,4,Ability to choose class schedules and/or instructors,The relationship varies depending on the course
2025/12/29 11:03:20 pm EET,Female,Marketing and Advertising,Third Year,60 - 69,I attend about half of my classes,4,1,3,4,To improve understanding of course content,Work-related commitments,2,Review lecture slides or PDF materials,Equally effective,Independent self-study,3,Ability to choose class schedules and/or instructors,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/27 6:40:11 pm EET,Female,Marketing and Advertising,Third Year,70 - 79,I attend all or almost all classes,5,5,5,5,To improve understanding of course content,"Work-related commitments;Internship, training, or practical obligations",3,"Consult classmates’ notes;Watch recorded lectures, if available",Equally effective,In-person classroom instruction,3,"Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving)",The relationship varies depending on the course
2025/12/26 5:33:03 pm EET,Female,Public Relations,Third Year,60 - 69,I attend about half of my classes,3,2,3,2,Attendance is mandatory according to faculty regulations,Long commuting distance or transportation challenges;Low motivation or engagement with the course;Perceived limitations in teaching quality or delivery,2,Review lecture slides or PDF materials;Consult classmates’ notes;Rely on explanations provided by classmates or peers;I usually do not compensate for missed classes,More effective,A combination of in-person classes and other learning methods,3,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving);Ability to choose class schedules and/or instructors",The relationship varies depending on the course
2025/12/26 10:42:08 pm EET,Female,Public Relations,Third Year,60 - 69,I attend about half of my classes,5,3,5,4,Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation;Access to explanations not available in course materials,Work-related commitments,3,Review lecture slides or PDF materials;Consult classmates’ notes,Equally effective,Independent self-study,3,"Practical application of course content (e.g., examples, case studies, problem-solving);Ability to choose class schedules and/or instructors","When I attend classes less frequently, my academic performance tends to be higher"
2025/12/30 12:35:30 am EET,Female,Public Relations,Third Year,80 - 89,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,Work-related commitments,4,Consult classmates’ notes,Less effective,In-person classroom instruction,3,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving);Relevance of lectures to examinations and assessments;Ability to choose class schedules and/or instructors",The relationship varies depending on the course
2025/12/29 10:29:05 pm EET,Male,Data Science,Third Year,70 - 79,I attend most classes,5,3,5,5,To improve understanding of course content,Course materials are sufficiently available online,3,"Watch educational videos (e.g., YouTube)",Equally effective,"Online learning resources (videos, platforms, AI tools, etc.)",3,Quality and clarity of instruction during lectures,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/29 11:17:29 pm EET,Male,Data Science,Third Year,70 - 79,I attend about half of my classes,5,2,3,3,Attendance is mandatory according to faculty regulations,Long commuting distance or transportation challenges,1,I usually do not compensate for missed classes,More effective,Independent self-study,1,Relevance of lectures to examinations and assessments,The relationship varies depending on the course
2026/01/03 12:54:39 pm EET,Male,Data Science,Third Year,70 - 79,I attend most classes,4,3,4,4,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Access to explanations not available in course materials,Long commuting distance or transportation challenges,5,"Watch educational videos (e.g., YouTube);Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT);Watch recorded lectures, if available",Equally effective,In-person classroom instruction,4,Quality and clarity of instruction during lectures;Relevance of lectures to examinations and assessments,The relationship varies depending on the course
2025/12/26 3:30:03 pm EET,Female,Data Science,Third Year,70 - 79,I attend all or almost all classes,5,3,5,3,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Access to explanations not available in course materials,Work-related commitments;Low motivation or engagement with the course;Perceived limitations in teaching quality or delivery,3,"Review lecture slides or PDF materials;Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,A combination of in-person classes and other learning methods,4,"Quality and clarity of instruction during lectures;Practical application of course content (e.g., examples, case studies, problem-solving);Relevance of lectures to examinations and assessments;Ability to choose class schedules and/or instructors",The relationship varies depending on the course
2025/12/29 10:15:31 pm EET,Female,Data Science,Third Year,80 - 89,I attend most classes,4,2,3,1,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Class participation contributes to academic evaluation,"Internship, training, or practical obligations;Long commuting distance or transportation challenges",3,"Review lecture slides or PDF materials;Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT)",Less effective,A combination of in-person classes and other learning methods,3,Opportunities for in-class discussion to better understand theoretical concepts;Relevance of lectures to examinations and assessments,The relationship varies depending on the course
2025/12/26 3:23:33 pm EET,Female,Information Management,First Year,80 - 89,I attend all or almost all classes,4,4,4,4,To improve understanding of course content,Long commuting distance or transportation challenges,5,Review lecture slides or PDF materials,Equally effective,A combination of in-person classes and other learning methods,5,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving)","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/27 12:05:11 am EET,Female,Information Management,Third Year,Below 60,I attend few classes,2,2,2,2,To improve understanding of course content,Work-related commitments,2,Consult classmates’ notes,Equally effective,In-person classroom instruction,4,Opportunities for in-class discussion to better understand theoretical concepts,"When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 5:12:58 pm EET,Female,Journalism,First Year,70 - 79,I attend all or almost all classes,4,3,3,3,To improve understanding of course content;Attendance is mandatory according to faculty regulations;Access to explanations not available in course materials,,5,"Review lecture slides or PDF materials;Use AI-based tools for learning support (e.g., ChatGPT)",More effective,In-person classroom instruction,3,"Quality and clarity of instruction during lectures;Practical application of course content (e.g., examples, case studies, problem-solving)","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 3:49:45 pm EET,Female,Public Relations,First Year,70 - 79,I attend all or almost all classes,5,4,4,3,To improve understanding of course content;Class participation contributes to academic evaluation,Low motivation or engagement with the course,5,"Review lecture slides or PDF materials;Watch educational videos (e.g., YouTube);Consult classmates’ notes;Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,In-person classroom instruction,4,"Quality and clarity of instruction during lectures;Opportunities for in-class discussion to better understand theoretical concepts;Practical application of course content (e.g., examples, case studies, problem-solving)","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/26 4:40:56 pm EET,Female,Public Relations,First Year,60 - 69,I attend most classes,5,4,4,4,To improve understanding of course content,Long commuting distance or transportation challenges,3,Review lecture slides or PDF materials;Consult classmates’ notes,Equally effective,In-person classroom instruction,3,"Practical application of course content (e.g., examples, case studies, problem-solving)",I am unable to determine a clear relationship based on my experience
2025/12/29 9:19:49 pm EET,Female,Public Relations,First Year,60 - 69,I attend all or almost all classes,5,4,4,5,To improve understanding of course content,Work-related commitments,4,"Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,In-person classroom instruction,5,"Practical application of course content (e.g., examples, case studies, problem-solving)","When I attend classes more frequently, my academic performance tends to be higher"
2025/12/30 12:11:15 am EET,Female,Public Relations,First Year,Below 60,I attend all or almost all classes,5,5,5,5,To improve understanding of course content;Attendance is mandatory according to faculty regulations;The instructor’s teaching approach enhances learning;Class participation contributes to academic evaluation;Opportunities for discussion and peer interaction;Access to explanations not available in course materials,,4,"Review lecture slides or PDF materials;Use AI-based tools for learning support (e.g., ChatGPT)",Equally effective,A combination of in-person classes and other learning methods,4,None of these factors would influence my decision to attend classes,I am unable to determine a clear relationship based on my experience
